,ms_file_label,peak_label,mz_mean,peak_area,Sample
0,SPM_7_pos_20,Dehydrotomatine,1034.5422,1425829.0,SPM
1,SPM_7_pos_20,alpha-Tomatine,1036.5613,5211881.0,SPM
2,SPM_7_pos_20,Tomatidine,416.3531,0.0,SPM
3,SPM_7_pos_20,Hydroxytomatine_range,1050.55,29659.0,SPM
4,SPM_7_pos_20,Acetoxytomatine_II_rt4p4,1092.5608,0.0,SPM
5,SPM_7_pos_20,Acetoxytomatine_II_rt5p3,1092.5608,217928.0,SPM
6,SPM_7_pos_20,Acetoxytomatine_II_rt5p4,1092.5608,0.0,SPM
7,SPM_7_pos_20,EsculeosideB_rt2p2,1228.5957,0.0,SPM
8,SPM_7_pos_20,EsculeosideB_rt2p3,1228.5957,0.0,SPM
9,SPM_7_pos_20,LycoEscu_rt3p3,1270.6076,0.0,SPM
10,SPM_7_pos_20,LycoEscu_rt2p4,1270.6076,0.0,SPM
11,SPM_8_pos_174,Dehydrotomatine,1034.5422,1528895.0,SPM
12,SPM_8_pos_174,alpha-Tomatine,1036.5613,7821452.0,SPM
13,SPM_8_pos_174,Tomatidine,416.3531,792884.0,SPM
14,SPM_8_pos_174,Hydroxytomatine_range,1050.55,88770.0,SPM
15,SPM_8_pos_174,Acetoxytomatine_II_rt4p4,1092.5608,0.0,SPM
16,SPM_8_pos_174,Acetoxytomatine_II_rt5p3,1092.5608,227894.0,SPM
17,SPM_8_pos_174,Acetoxytomatine_II_rt5p4,1092.5608,0.0,SPM
18,SPM_8_pos_174,EsculeosideB_rt2p2,1228.5957,0.0,SPM
19,SPM_8_pos_174,EsculeosideB_rt2p3,1228.5957,0.0,SPM
20,SPM_8_pos_174,LycoEscu_rt3p3,1270.6076,0.0,SPM
21,SPM_8_pos_174,LycoEscu_rt2p4,1270.6076,0.0,SPM
22,SPM_9_pos_91,Dehydrotomatine,1034.5422,1976671.0,SPM
23,SPM_9_pos_91,alpha-Tomatine,1036.5613,7905228.0,SPM
24,SPM_9_pos_91,Tomatidine,416.3531,0.0,SPM
25,SPM_9_pos_91,Hydroxytomatine_range,1050.55,3207142.0,SPM
26,SPM_9_pos_91,Acetoxytomatine_II_rt4p4,1092.5608,154175.0,SPM
27,SPM_9_pos_91,Acetoxytomatine_II_rt5p3,1092.5608,5813583.0,SPM
28,SPM_9_pos_91,Acetoxytomatine_II_rt5p4,1092.5608,957107.0,SPM
29,SPM_9_pos_91,EsculeosideB_rt2p2,1228.5957,0.0,SPM
30,SPM_9_pos_91,EsculeosideB_rt2p3,1228.5957,0.0,SPM
31,SPM_9_pos_91,LycoEscu_rt3p3,1270.6076,0.0,SPM
32,SPM_9_pos_91,LycoEscu_rt2p4,1270.6076,0.0,SPM
33,SPM_10_pos_190,Dehydrotomatine,1034.5422,1479025.0,SPM
34,SPM_10_pos_190,alpha-Tomatine,1036.5613,6159062.0,SPM
35,SPM_10_pos_190,Tomatidine,416.3531,818238.0,SPM
36,SPM_10_pos_190,Hydroxytomatine_range,1050.55,31264.0,SPM
37,SPM_10_pos_190,Acetoxytomatine_II_rt4p4,1092.5608,0.0,SPM
38,SPM_10_pos_190,Acetoxytomatine_II_rt5p3,1092.5608,191925.0,SPM
39,SPM_10_pos_190,Acetoxytomatine_II_rt5p4,1092.5608,0.0,SPM
40,SPM_10_pos_190,EsculeosideB_rt2p2,1228.5957,0.0,SPM
41,SPM_10_pos_190,EsculeosideB_rt2p3,1228.5957,0.0,SPM
42,SPM_10_pos_190,LycoEscu_rt3p3,1270.6076,0.0,SPM
43,SPM_10_pos_190,LycoEscu_rt2p4,1270.6076,0.0,SPM
44,SPV_1_pos_158,Dehydrotomatine,1034.5422,1112827.0,SPV
45,SPV_1_pos_158,alpha-Tomatine,1036.5613,6551063.0,SPV
46,SPV_1_pos_158,Tomatidine,416.3531,802389.0,SPV
47,SPV_1_pos_158,Hydroxytomatine_range,1050.55,37289336.0,SPV
48,SPV_1_pos_158,Acetoxytomatine_II_rt4p4,1092.5608,80296.0,SPV
49,SPV_1_pos_158,Acetoxytomatine_II_rt5p3,1092.5608,3169789.0,SPV
50,SPV_1_pos_158,Acetoxytomatine_II_rt5p4,1092.5608,469537.0,SPV
51,SPV_1_pos_158,EsculeosideB_rt2p2,1228.5957,10538.0,SPV
52,SPV_1_pos_158,EsculeosideB_rt2p3,1228.5957,28910.0,SPV
53,SPV_1_pos_158,LycoEscu_rt3p3,1270.6076,32901.0,SPV
54,SPV_1_pos_158,LycoEscu_rt2p4,1270.6076,0.0,SPV
55,SPV_2_pos_180,Dehydrotomatine,1034.5422,1142536.0,SPV
56,SPV_2_pos_180,alpha-Tomatine,1036.5613,6554922.0,SPV
57,SPV_2_pos_180,Tomatidine,416.3531,820205.0,SPV
58,SPV_2_pos_180,Hydroxytomatine_range,1050.55,38421318.0,SPV
59,SPV_2_pos_180,Acetoxytomatine_II_rt4p4,1092.5608,82566.0,SPV
60,SPV_2_pos_180,Acetoxytomatine_II_rt5p3,1092.5608,3128551.0,SPV
61,SPV_2_pos_180,Acetoxytomatine_II_rt5p4,1092.5608,470609.0,SPV
62,SPV_2_pos_180,EsculeosideB_rt2p2,1228.5957,11163.0,SPV
63,SPV_2_pos_180,EsculeosideB_rt2p3,1228.5957,35715.0,SPV
64,SPV_2_pos_180,LycoEscu_rt3p3,1270.6076,34527.0,SPV
65,SPV_2_pos_180,LycoEscu_rt2p4,1270.6076,0.0,SPV
66,SPV_3_pos_140,Dehydrotomatine,1034.5422,1159284.0,SPV
67,SPV_3_pos_140,alpha-Tomatine,1036.5613,6725086.0,SPV
68,SPV_3_pos_140,Tomatidine,416.3531,793233.0,SPV
69,SPV_3_pos_140,Hydroxytomatine_range,1050.55,37670957.0,SPV
70,SPV_3_pos_140,Acetoxytomatine_II_rt4p4,1092.5608,77418.0,SPV
71,SPV_3_pos_140,Acetoxytomatine_II_rt5p3,1092.5608,3151875.0,SPV
72,SPV_3_pos_140,Acetoxytomatine_II_rt5p4,1092.5608,463690.0,SPV
73,SPV_3_pos_140,EsculeosideB_rt2p2,1228.5957,6847.0,SPV
74,SPV_3_pos_140,EsculeosideB_rt2p3,1228.5957,33135.0,SPV
75,SPV_3_pos_140,LycoEscu_rt3p3,1270.6076,33085.0,SPV
76,SPV_3_pos_140,LycoEscu_rt2p4,1270.6076,0.0,SPV
77,SPV_4_pos_166,Dehydrotomatine,1034.5422,896923.0,SPV
78,SPV_4_pos_166,alpha-Tomatine,1036.5613,5697946.0,SPV
79,SPV_4_pos_166,Tomatidine,416.3531,812394.0,SPV
80,SPV_4_pos_166,Hydroxytomatine_range,1050.55,30161104.0,SPV
81,SPV_4_pos_166,Acetoxytomatine_II_rt4p4,1092.5608,40944.0,SPV
82,SPV_4_pos_166,Acetoxytomatine_II_rt5p3,1092.5608,2721696.0,SPV
83,SPV_4_pos_166,Acetoxytomatine_II_rt5p4,1092.5608,392854.0,SPV
84,SPV_4_pos_166,EsculeosideB_rt2p2,1228.5957,7123.0,SPV
85,SPV_4_pos_166,EsculeosideB_rt2p3,1228.5957,21442.0,SPV
86,SPV_4_pos_166,LycoEscu_rt3p3,1270.6076,9613.0,SPV
87,SPV_4_pos_166,LycoEscu_rt2p4,1270.6076,0.0,SPV
88,SPV_5_pos_177,Dehydrotomatine,1034.5422,920469.0,SPV
89,SPV_5_pos_177,alpha-Tomatine,1036.5613,5859175.0,SPV
90,SPV_5_pos_177,Tomatidine,416.3531,805116.0,SPV
91,SPV_5_pos_177,Hydroxytomatine_range,1050.55,30884503.0,SPV
92,SPV_5_pos_177,Acetoxytomatine_II_rt4p4,1092.5608,48422.0,SPV
93,SPV_5_pos_177,Acetoxytomatine_II_rt5p3,1092.5608,2710984.0,SPV
94,SPV_5_pos_177,Acetoxytomatine_II_rt5p4,1092.5608,376461.0,SPV
95,SPV_5_pos_177,EsculeosideB_rt2p2,1228.5957,2923.0,SPV
96,SPV_5_pos_177,EsculeosideB_rt2p3,1228.5957,20559.0,SPV
97,SPV_5_pos_177,LycoEscu_rt3p3,1270.6076,16575.0,SPV
98,SPV_5_pos_177,LycoEscu_rt2p4,1270.6076,0.0,SPV
99,SPV_6_pos_98,Dehydrotomatine,1034.5422,5144732.0,SPV
100,SPV_6_pos_98,alpha-Tomatine,1036.5613,12214668.0,SPV
101,SPV_6_pos_98,Tomatidine,416.3531,4005.0,SPV
102,SPV_6_pos_98,Hydroxytomatine_range,1050.55,360930.0,SPV
103,SPV_6_pos_98,Acetoxytomatine_II_rt4p4,1092.5608,0.0,SPV
104,SPV_6_pos_98,Acetoxytomatine_II_rt5p3,1092.5608,304214.0,SPV
105,SPV_6_pos_98,Acetoxytomatine_II_rt5p4,1092.5608,4440.0,SPV
106,SPV_6_pos_98,EsculeosideB_rt2p2,1228.5957,0.0,SPV
107,SPV_6_pos_98,EsculeosideB_rt2p3,1228.5957,0.0,SPV
108,SPV_6_pos_98,LycoEscu_rt3p3,1270.6076,0.0,SPV
109,SPV_6_pos_98,LycoEscu_rt2p4,1270.6076,0.0,SPV
110,SPV_7_pos_17,Dehydrotomatine,1034.5422,1335020.0,SPV
111,SPV_7_pos_17,alpha-Tomatine,1036.5613,7478783.0,SPV
112,SPV_7_pos_17,Tomatidine,416.3531,4601.0,SPV
113,SPV_7_pos_17,Hydroxytomatine_range,1050.55,40227141.0,SPV
114,SPV_7_pos_17,Acetoxytomatine_II_rt4p4,1092.5608,203340.0,SPV
115,SPV_7_pos_17,Acetoxytomatine_II_rt5p3,1092.5608,4959923.0,SPV
116,SPV_7_pos_17,Acetoxytomatine_II_rt5p4,1092.5608,763090.0,SPV
117,SPV_7_pos_17,EsculeosideB_rt2p2,1228.5957,10687.0,SPV
118,SPV_7_pos_17,EsculeosideB_rt2p3,1228.5957,12954.0,SPV
119,SPV_7_pos_17,LycoEscu_rt3p3,1270.6076,45319.0,SPV
120,SPV_7_pos_17,LycoEscu_rt2p4,1270.6076,0.0,SPV
121,SPV_8_pos_28,Dehydrotomatine,1034.5422,1110022.0,SPV
122,SPV_8_pos_28,alpha-Tomatine,1036.5613,7428261.0,SPV
123,SPV_8_pos_28,Tomatidine,416.3531,4206.0,SPV
124,SPV_8_pos_28,Hydroxytomatine_range,1050.55,15869030.0,SPV
125,SPV_8_pos_28,Acetoxytomatine_II_rt4p4,1092.5608,186329.0,SPV
126,SPV_8_pos_28,Acetoxytomatine_II_rt5p3,1092.5608,5270191.0,SPV
127,SPV_8_pos_28,Acetoxytomatine_II_rt5p4,1092.5608,1019531.0,SPV
128,SPV_8_pos_28,EsculeosideB_rt2p2,1228.5957,1073.0,SPV
129,SPV_8_pos_28,EsculeosideB_rt2p3,1228.5957,2615.0,SPV
130,SPV_8_pos_28,LycoEscu_rt3p3,1270.6076,0.0,SPV
131,SPV_8_pos_28,LycoEscu_rt2p4,1270.6076,0.0,SPV
132,SPV_9_pos_67,Dehydrotomatine,1034.5422,1371212.0,SPV
133,SPV_9_pos_67,alpha-Tomatine,1036.5613,7745682.0,SPV
134,SPV_9_pos_67,Tomatidine,416.3531,0.0,SPV
135,SPV_9_pos_67,Hydroxytomatine_range,1050.55,36662249.0,SPV
136,SPV_9_pos_67,Acetoxytomatine_II_rt4p4,1092.5608,145616.0,SPV
137,SPV_9_pos_67,Acetoxytomatine_II_rt5p3,1092.5608,4291154.0,SPV
138,SPV_9_pos_67,Acetoxytomatine_II_rt5p4,1092.5608,587713.0,SPV
139,SPV_9_pos_67,EsculeosideB_rt2p2,1228.5957,5313.0,SPV
140,SPV_9_pos_67,EsculeosideB_rt2p3,1228.5957,11114.0,SPV
141,SPV_9_pos_67,LycoEscu_rt3p3,1270.6076,20161.0,SPV
142,SPV_9_pos_67,LycoEscu_rt2p4,1270.6076,0.0,SPV
143,SPV_10_pos_53,Dehydrotomatine,1034.5422,1375711.0,SPV
144,SPV_10_pos_53,alpha-Tomatine,1036.5613,8227433.0,SPV
145,SPV_10_pos_53,Tomatidine,416.3531,0.0,SPV
146,SPV_10_pos_53,Hydroxytomatine_range,1050.55,20911976.0,SPV
147,SPV_10_pos_53,Acetoxytomatine_II_rt4p4,1092.5608,317394.0,SPV
148,SPV_10_pos_53,Acetoxytomatine_II_rt5p3,1092.5608,6174355.0,SPV
149,SPV_10_pos_53,Acetoxytomatine_II_rt5p4,1092.5608,1240724.0,SPV
150,SPV_10_pos_53,EsculeosideB_rt2p2,1228.5957,3600.0,SPV
151,SPV_10_pos_53,EsculeosideB_rt2p3,1228.5957,14821.0,SPV
152,SPV_10_pos_53,LycoEscu_rt3p3,1270.6076,0.0,SPV
153,SPV_10_pos_53,LycoEscu_rt2p4,1270.6076,0.0,SPV
154,OH8243Fruit_1_pos_229,Dehydrotomatine,1034.5422,0.0,OH8243Fruit
155,OH8243Fruit_1_pos_229,alpha-Tomatine,1036.5613,19750.0,OH8243Fruit
156,OH8243Fruit_1_pos_229,Tomatidine,416.3531,760223.0,OH8243Fruit
157,OH8243Fruit_1_pos_229,Hydroxytomatine_range,1050.55,1222739.0,OH8243Fruit
158,OH8243Fruit_1_pos_229,Acetoxytomatine_II_rt4p4,1092.5608,95764.0,OH8243Fruit
159,OH8243Fruit_1_pos_229,Acetoxytomatine_II_rt5p3,1092.5608,53851.0,OH8243Fruit
160,OH8243Fruit_1_pos_229,Acetoxytomatine_II_rt5p4,1092.5608,0.0,OH8243Fruit
161,OH8243Fruit_1_pos_229,EsculeosideB_rt2p2,1228.5957,722072.0,OH8243Fruit
162,OH8243Fruit_1_pos_229,EsculeosideB_rt2p3,1228.5957,196694.0,OH8243Fruit
