"ms_file_label","Specie","Replicate","InjectionNumber","Dehydrotomatine","alpha-Tomatine","Tomatidine","Hydroxytomatine_range","Acetoxytomatine_II_rt4p4","Acetoxytomatine_II_rt5p3","Acetoxytomatine_II_rt5p4","EsculeosideB_rt2p2","EsculeosideB_rt2p3","LycoEscu_rt3p3","LycoEscu_rt2p4"
"SPM_7_pos_20","SPM","7","20",1425829,5211881,0,29659,0,217928,0,0,0,0,0
"SPM_8_pos_174","SPM","8","174",1528895,7821452,792884,88770,0,227894,0,0,0,0,0
"SPM_9_pos_91","SPM","9","91",1976671,7905228,0,3207142,154175,5813583,957107,0,0,0,0
"SPM_10_pos_190","SPM","10","190",1479025,6159062,818238,31264,0,191925,0,0,0,0,0
"SPV_1_pos_158","SPV","1","158",1112827,6551063,802389,37289336,80296,3169789,469537,10538,28910,32901,0
"SPV_2_pos_180","SPV","2","180",1142536,6554922,820205,38421318,82566,3128551,470609,11163,35715,34527,0
"SPV_3_pos_140","SPV","3","140",1159284,6725086,793233,37670957,77418,3151875,463690,6847,33135,33085,0
"SPV_4_pos_166","SPV","4","166",896923,5697946,812394,30161104,40944,2721696,392854,7123,21442,9613,0
"SPV_5_pos_177","SPV","5","177",920469,5859175,805116,30884503,48422,2710984,376461,2923,20559,16575,0
"SPV_6_pos_98","SPV","6","98",5144732,12214668,4005,360930,0,304214,4440,0,0,0,0
"SPV_7_pos_17","SPV","7","17",1335020,7478783,4601,40227141,203340,4959923,763090,10687,12954,45319,0
"SPV_8_pos_28","SPV","8","28",1110022,7428261,4206,15869030,186329,5270191,1019531,1073,2615,0,0
"SPV_9_pos_67","SPV","9","67",1371212,7745682,0,36662249,145616,4291154,587713,5313,11114,20161,0
"SPV_10_pos_53","SPV","10","53",1375711,8227433,0,20911976,317394,6174355,1240724,3600,14821,0,0
"HATS_1_pos_65","HATS","1","65",747552,3854875,0,0,0,23620,0,0,0,0,0
"HATS_2_pos_185","HATS","2","185",910114,3574824,789975,0,0,26755,0,0,0,0,0
